datetime,V_GSM_X,V_GSM_Y,V_GSM_Z,Vp,Np,Tpr
2000-07-11 00:00:05,-459.175,-32.603,-27.193,461.12,20.129,77225.9
2000-07-11 00:01:09,-452.642,-26.608,-28.416,454.29,20.85,73884.5
2000-07-11 00:02:13,-455.249,-28.725,-27.428,456.96,18.8521,81376.7
2000-07-11 00:03:17,-450.47,-21.842,-24.689,451.65,20.7005,85225.7
2000-07-11 00:04:21,-448.375,-16.942,-24.125,449.32,20.2267,71226.8
2000-07-11 00:05:25,-441.191,0.116,-26.901,441.96,20.5659,101297.3
2000-07-11 00:06:29,-450.583,-16.935,-30.591,451.9,19.4068,73834.9
2000-07-11 00:07:33,-459.876,-20.696,-25.736,461.04,18.8426,71590.0
2000-07-11 00:08:37,-458.723,-40.422,-26.482,461.26,23.5823,84112.7
2000-07-11 00:09:41,-451.752,-49.079,-23.404,455.02,28.2687,72483.8
2000-07-11 00:10:45,-455.372,-39.66,-26.588,457.86,23.0733,98264.1
2000-07-11 00:11:49,-459.995,-37.413,-29.914,462.47,22.7041,80332.9
2000-07-11 00:12:53,-459.522,-43.31,-29.865,462.51,21.9596,78887.4
2000-07-11 00:13:57,-466.173,-32.92,-29.377,468.24,21.266,82916.9
2000-07-11 00:15:01,-461.124,-29.158,-29.6,462.97,19.7649,78310.7
2000-07-11 00:16:05,-458.546,-26.351,-26.702,460.06,21.7715,75965.0
2000-07-11 00:17:09,-455.711,-20.95,-28.125,457.03,21.8298,80935.2
2000-07-11 00:18:13,-474.286,-39.95,-17.848,476.31,21.4433,104569.1
2000-07-11 00:19:17,-465.855,-44.656,-22.454,468.54,28.9065,76552.0
2000-07-11 00:20:21,-470.148,-41.559,-23.864,472.58,25.3289,86630.3
2000-07-11 00:21:25,-467.354,-36.084,-26.543,469.48,21.5455,85209.7
2000-07-11 00:22:29,-468.383,-41.966,-23.537,470.85,24.2153,85501.6
2000-07-11 00:23:33,-469.192,-41.111,-7.691,471.09,21.7647,97322.5
2000-07-11 00:24:37,-463.519,-34.492,-12.408,464.98,20.6758,94047.2
2000-07-11 00:25:41,-462.954,-35.252,-11.254,464.45,21.0373,95912.4
2000-07-11 00:26:45,,,,,,
2000-07-11 00:27:49,-470.206,-39.472,-6.634,471.94,20.8264,100085.4
2000-07-11 00:28:53,-463.899,-24.282,-21.291,465.01,20.8252,90156.2
2000-07-11 00:29:57,-473.411,-28.982,-10.377,474.42,19.4273,97876.2
2000-07-11 00:31:01,-472.561,-26.744,-9.891,473.43,17.2811,97364.8
2000-07-11 00:32:05,-466.857,-34.391,-13.861,468.34,18.8514,88212.4
2000-07-11 00:33:09,-465.568,-25.933,-23.069,466.84,20.4815,95751.0
2000-07-11 00:34:13,-464.517,-26.983,-20.461,465.74,19.2393,119590.6
2000-07-11 00:35:17,-470.307,-47.528,-17.588,473.05,19.4325,104390.5
2000-07-11 00:36:21,-467.583,-38.429,-27.347,469.94,17.5987,87259.1
2000-07-11 00:37:25,-471.756,-37.508,-23.687,473.83,20.3893,95521.7
2000-07-11 00:38:29,-474.251,-40.25,-24.097,476.56,17.9537,86652.5
2000-07-11 00:39:33,-475.143,-38.869,-21.414,477.21,19.2311,93353.7
2000-07-11 00:40:37,-470.616,-40.681,-23.291,472.94,19.3171,86301.1
2000-07-11 00:41:41,-471.484,-39.163,-24.836,473.75,19.3737,91521.0
2000-07-11 00:42:45,-475.4,-45.002,-22.113,478.05,20.2126,94814.5
2000-07-11 00:43:49,-478.786,-51.737,-8.373,481.69,22.267,106897.5
2000-07-11 00:44:53,-474.398,-48.451,-0.698,476.93,19.541,96815.3
2000-07-11 00:45:57,-473.472,-44.843,-6.853,475.68,20.4399,102629.8
2000-07-11 00:47:01,-473.278,-43.084,-2.326,475.29,19.7322,95354.5
2000-07-11 00:48:05,-470.67,-44.731,-2.181,472.85,19.5199,91921.3
2000-07-11 00:49:09,-470.552,-44.553,-0.451,472.72,20.1867,88827.6
2000-07-11 00:50:13,-471.031,-42.028,-5.225,472.98,19.1873,85777.8
2000-07-11 00:51:17,-470.91,-43.037,-3.619,472.94,18.739,90353.8
2000-07-11 00:52:21,-466.978,-42.002,-6.97,468.96,19.6586,84737.0
2000-07-11 00:53:25,-468.066,-40.731,-8.539,469.95,20.0684,90309.5
2000-07-11 00:54:29,-467.006,-40.361,-7.89,468.85,19.3249,84369.9
2000-07-11 00:55:33,-466.767,-40.734,-7.136,468.64,18.9755,84085.1
2000-07-11 00:56:37,-466.711,-39.925,-3.909,468.48,18.9621,83534.3
2000-07-11 00:57:41,-462.474,-36.934,-9.486,464.07,17.4544,75565.9
2000-07-11 00:58:45,-464.177,-36.91,-4.065,465.7,16.6507,81415.9
2000-07-11 00:59:49,,,,,,
2000-07-11 01:00:53,-462.969,-38.639,-13.174,464.79,18.6979,85340.8
2000-07-11 01:01:57,-464.23,-38.739,-14.77,466.1,18.7137,84075.9
2000-07-11 01:03:01,-463.518,-38.753,-14.618,465.38,19.7941,93530.0
