datetime,V_GSM_X,V_GSM_Y,V_GSM_Z,Vp,Np,Tpr
2000-09-13 00:01:00,-433.98,39.932,-20.81,436.31,7.6821,85666.7
2000-09-13 00:02:04,-437.129,38.006,-22.972,439.39,7.6994,88776.6
2000-09-13 00:03:08,-439.687,39.206,-24.022,442.1,7.5594,85773.3
2000-09-13 00:04:12,-438.199,37.883,-20.147,440.3,7.9711,75600.0
2000-09-13 00:05:16,-437.708,33.952,-11.899,439.17,8.3388,97665.2
2000-09-13 00:06:20,-435.811,37.303,-23.155,438.03,7.6041,84839.0
2000-09-13 00:07:24,-435.782,36.231,-22.378,437.87,7.9787,88679.2
2000-09-13 00:08:28,-438.34,37.864,-23.934,440.64,7.4947,81606.7
2000-09-13 00:09:32,,,,,,
2000-09-13 00:10:36,-440.531,38.074,-24.1,442.84,7.8364,80012.8
2000-09-13 00:11:40,-440.99,38.73,-24.156,443.36,7.6286,83610.2
2000-09-13 00:12:44,-443.124,39.692,-26.101,445.68,7.8607,82099.0
2000-09-13 00:13:48,-441.983,38.425,-24.785,444.36,8.0691,81977.2
2000-09-13 00:14:52,-439.685,37.746,-24.054,441.97,7.977,84077.5
2000-09-13 00:15:56,-437.394,36.481,-21.525,439.45,7.5068,75895.8
2000-09-13 00:17:00,-438.144,35.703,-27.96,440.51,7.0979,75436.2
2000-09-13 00:18:04,-438.828,38.296,-25.715,441.26,7.9469,82473.0
2000-09-13 00:19:08,-442.182,36.586,-24.425,444.38,7.8883,85234.4
2000-09-13 00:20:12,-442.582,36.365,-24.377,444.76,8.3831,84254.3
2000-09-13 00:21:16,-441.206,37.531,-25.996,443.58,8.0361,80866.2
2000-09-13 00:22:20,-443.887,38.022,-26.914,446.35,8.1613,92361.7
2000-09-13 00:23:24,-446.917,37.245,-29.681,449.48,7.7901,85091.7
2000-09-13 00:24:28,-442.606,35.13,-28.8,444.97,7.8521,78784.2
2000-09-13 00:25:32,-441.385,37.961,-27.808,443.91,8.0477,85806.9
2000-09-13 00:26:36,-440.446,36.35,-27.154,442.8,8.0814,86451.1
2000-09-13 00:27:40,-438.6,37.973,-23.267,440.87,7.6513,83603.9
2000-09-13 00:28:44,-437.87,38.327,-24.306,440.23,7.6047,86529.8
2000-09-13 00:29:48,-437.525,39.106,-23.201,439.89,7.9553,85374.9
2000-09-13 00:30:52,-440.221,38.295,-22.189,442.45,8.0452,79718.3
2000-09-13 00:31:56,-437.126,36.644,-23.803,439.32,7.6239,87612.9
2000-09-13 00:33:00,-436.388,37.752,-25.231,438.77,7.7339,88705.1
2000-09-13 00:34:04,-439.423,33.529,-25.611,441.47,7.8606,84531.6
2000-09-13 00:35:08,-439.653,36.698,-24.05,441.86,7.7151,84971.6
2000-09-13 00:36:12,-439.741,35.956,-27.045,442.07,8.2258,87783.6
2000-09-13 00:37:16,-438.209,38.285,-30.495,440.97,8.0303,86686.2
2000-09-13 00:38:20,-445.18,38.693,-29.085,447.84,7.7838,90694.2
2000-09-13 00:39:24,-441.218,36.23,-25.389,443.46,7.5908,78603.3
2000-09-13 00:40:28,-439.791,36.567,-25.078,442.04,7.2727,77126.2
2000-09-13 00:41:32,-438.331,39.969,-26.984,441.0,7.8801,76409.6
2000-09-13 00:42:36,,,,,,
2000-09-13 00:43:40,-436.731,41.766,-30.936,439.85,8.5078,74348.5
2000-09-13 00:44:44,-433.495,42.663,-24.398,436.28,8.2114,80604.7
2000-09-13 00:45:48,-430.953,38.225,-12.163,432.79,7.972,82970.8
2000-09-13 00:46:52,-431.506,33.583,-15.426,433.08,7.9192,76676.0
2000-09-13 00:47:56,-432.725,36.261,-19.246,434.67,7.9198,80233.6
2000-09-13 00:49:00,-432.819,39.413,-25.262,435.36,8.555,79894.9
2000-09-13 00:50:04,-436.307,39.822,-25.249,438.87,8.3305,75032.3
2000-09-13 00:51:08,-437.13,41.828,-27.282,440.0,8.0859,79334.1
2000-09-13 00:52:12,-427.213,35.599,-7.292,428.72,7.2602,95337.7
2000-09-13 00:53:16,-428.509,35.585,-14.689,430.22,7.9297,85046.1
2000-09-13 00:54:20,-434.604,38.96,-27.751,437.26,7.7008,75012.1
